<<<<<<< HEAD
cid,cierre,reapertura
582,3/12/2019 21:19,3/17/2019 22:25
583,1/14/2016 11:44,1/21/2016 2:47
584,4/30/2013 6:43,5/10/2013 20:11
585,1/14/2017 13:27,1/26/2017 23:35
586,9/10/2014 14:29,9/15/2014 4:44
587,2/22/2013 5:41,3/7/2013 6:15
588,5/2/2011 12:23,5/10/2011 12:50
589,11/26/2017 19:11,12/1/2017 10:22
590,8/5/2011 7:27,8/9/2011 7:34
591,9/5/2013 21:43,9/12/2013 14:18
592,8/6/2015 7:45,8/12/2015 19:57
593,6/1/2011 16:42,6/15/2011 18:52
594,4/9/2011 2:06,4/19/2011 8:33
595,6/9/2018 14:00,6/15/2018 5:25
596,4/18/2010 3:22,4/28/2010 12:43
597,8/15/2012 11:03,8/21/2012 18:20
598,12/17/2014 3:57,12/20/2014 7:20
599,3/14/2017 21:47,3/25/2017 23:46
600,10/4/2013 2:37,10/18/2013 11:24
601,7/11/2011 2:27,7/25/2011 9:25
602,12/24/2018 3:20,12/27/2018 13:29
603,9/2/2016 4:47,9/16/2016 5:53
604,2/22/2018 17:39,2/28/2018 2:20
605,2/23/2020 23:41,3/7/2020 6:44
606,6/29/2017 15:56,7/5/2017 16:01
607,6/28/2019 22:46,7/11/2019 9:25
608,3/10/2012 20:15,3/14/2012 10:04
609,9/5/2020 12:13,9/20/2020 0:13
610,8/5/2016 18:50,8/17/2016 6:36
611,1/26/2016 23:36,1/30/2016 12:35
612,3/22/2017 9:12,3/26/2017 21:37
613,1/31/2011 20:22,2/9/2011 1:58
614,2/14/2017 3:42,2/21/2017 11:15
615,2/7/2011 18:55,2/20/2011 8:13
616,5/18/2013 8:16,5/24/2013 21:30
617,8/24/2014 17:29,9/5/2014 0:20
618,12/18/2015 18:24,12/25/2015 7:50
619,8/25/2017 3:16,8/28/2017 3:29
620,8/26/2011 16:40,8/31/2011 19:45
621,4/28/2016 10:18,5/4/2016 1:56
622,9/27/2010 21:48,10/6/2010 23:02
623,1/12/2012 4:16,1/20/2012 17:35
624,9/4/2016 15:05,9/9/2016 20:08
625,11/23/2019 4:38,11/28/2019 14:52
626,8/1/2013 17:14,8/4/2013 17:23
627,5/26/2019 22:50,6/6/2019 4:08
628,4/5/2018 10:59,4/14/2018 17:13
629,4/4/2020 9:03,4/18/2020 13:28
630,5/19/2020 15:31,5/27/2020 22:54
631,6/26/2014 14:42,7/4/2014 4:00
632,11/13/2019 21:46,11/26/2019 22:15
633,1/31/2019 13:45,2/9/2019 14:55
634,10/5/2016 10:28,10/19/2016 20:20
635,7/25/2016 0:24,8/2/2016 16:26
636,10/10/2015 23:17,10/17/2015 5:11
637,7/20/2018 5:45,8/1/2018 8:12
638,11/14/2019 8:14,11/23/2019 0:10
639,12/24/2018 4:58,1/2/2019 9:59
640,6/5/2020 19:01,6/13/2020 11:31
641,6/15/2017 2:32,6/27/2017 4:33
642,5/17/2015 14:46,5/23/2015 22:58
643,8/1/2018 7:14,8/6/2018 18:41
644,9/19/2014 16:41,10/1/2014 21:02
645,12/1/2014 8:53,12/11/2014 17:35
646,7/6/2012 1:35,7/17/2012 1:43
647,11/6/2015 4:51,11/10/2015 13:14
648,10/8/2018 9:47,10/16/2018 16:03
649,3/17/2018 12:43,3/29/2018 13:23
650,7/9/2018 5:12,7/22/2018 18:38
651,12/7/2019 16:40,12/19/2019 2:38
652,11/23/2015 21:00,11/29/2015 7:15
653,5/13/2010 6:54,5/21/2010 13:11
654,2/23/2011 3:02,2/26/2011 14:21
655,9/20/2011 0:24,9/26/2011 4:58
656,6/28/2018 5:22,7/7/2018 6:24
657,6/26/2014 10:06,7/7/2014 21:08
658,12/6/2011 12:32,12/15/2011 4:54
659,8/16/2019 16:50,8/22/2019 2:30
660,8/8/2014 20:23,8/22/2014 5:22
661,12/26/2017 0:36,1/1/2018 7:57
662,7/18/2018 14:15,7/25/2018 19:43
663,1/29/2010 22:52,2/5/2010 5:26
664,9/2/2016 6:25,9/11/2016 15:45
665,11/27/2014 2:52,12/9/2014 14:50
666,10/4/2015 11:25,10/11/2015 12:59
667,11/28/2010 1:50,12/10/2010 10:32
668,11/30/2018 21:24,12/6/2018 5:07
669,7/18/2012 4:30,7/23/2012 12:54
670,2/9/2011 1:43,2/14/2011 10:24
671,11/9/2017 13:21,11/24/2017 4:06
672,7/25/2013 15:35,8/5/2013 23:13
673,8/20/2012 17:03,8/28/2012 2:25
674,11/26/2013 2:03,12/9/2013 9:25
675,4/14/2012 21:06,4/21/2012 23:58
676,1/6/2016 11:20,1/10/2016 16:50
677,3/21/2019 7:18,4/4/2019 11:36
678,12/24/2013 4:43,12/27/2013 10:47
679,8/6/2015 19:49,8/14/2015 5:06
680,12/27/2015 5:43,1/10/2016 9:44
681,5/28/2014 16:12,6/11/2014 20:41
682,8/23/2016 16:36,8/31/2016 2:19
683,5/23/2011 20:15,5/30/2011 1:42
684,1/30/2011 21:28,2/7/2011 8:20
685,3/19/2015 4:32,4/1/2015 20:29
686,2/12/2013 3:19,2/20/2013 7:35
687,8/20/2020 9:17,8/26/2020 11:25
688,3/10/2020 9:14,3/24/2020 23:06
689,9/5/2011 16:18,9/12/2011 1:09
690,5/4/2020 17:20,5/12/2020 5:17
691,1/5/2016 22:13,1/16/2016 3:52
692,4/2/2012 13:53,4/16/2012 22:59
693,4/7/2015 9:18,4/11/2015 20:49
694,2/13/2011 21:06,2/17/2011 1:05
695,1/5/2017 16:49,1/16/2017 2:10
696,9/5/2015 23:39,9/13/2015 4:49
697,8/3/2014 1:30,8/7/2014 8:24
698,11/19/2018 16:24,11/28/2018 22:48
699,8/30/2015 3:43,9/5/2015 15:01
700,12/4/2015 16:58,12/13/2015 0:47
701,2/24/2017 22:26,3/5/2017 9:11
702,9/27/2016 16:28,10/3/2016 22:55
703,3/30/2019 1:52,4/11/2019 5:37
704,7/30/2017 11:30,8/11/2017 2:40
705,5/24/2020 5:47,6/1/2020 16:57
706,6/9/2010 6:00,6/15/2010 7:18
707,5/20/2018 10:44,5/31/2018 11:56
708,8/3/2010 11:34,8/13/2010 21:56
709,3/4/2019 8:53,3/17/2019 11:51
710,10/11/2013 4:15,10/21/2013 12:41
711,1/11/2017 4:42,1/17/2017 19:36
712,1/22/2015 2:02,1/28/2015 9:19
713,2/21/2018 4:18,2/24/2018 15:33
714,2/25/2019 5:21,3/2/2019 14:53
715,8/5/2010 23:46,8/20/2010 5:28
716,9/11/2017 12:10,9/17/2017 18:05
717,4/18/2020 20:34,5/1/2020 5:11
718,1/22/2020 13:04,1/29/2020 19:25
719,8/12/2013 9:55,8/21/2013 16:39
720,11/3/2015 2:32,11/12/2015 5:33
721,4/18/2019 15:49,5/2/2019 19:17
722,7/29/2015 16:35,8/5/2015 16:53
723,5/8/2014 5:39,5/17/2014 16:20
724,2/11/2016 1:01,2/18/2016 12:07
725,2/6/2013 17:46,2/11/2013 20:37
726,9/5/2012 23:24,9/18/2012 6:51
727,11/14/2014 22:02,11/26/2014 2:37
728,10/12/2013 16:42,10/22/2013 9:03
729,7/13/2011 22:37,7/25/2011 14:13
730,6/29/2013 16:40,7/5/2013 21:55
731,2/4/2013 9:31,2/16/2013 12:50
732,12/17/2010 22:42,12/23/2010 2:01
733,3/31/2014 18:07,4/3/2014 21:32
734,11/24/2015 3:05,12/2/2015 19:17
735,8/26/2014 16:27,9/2/2014 0:26
736,4/28/2017 21:24,5/9/2017 8:21
737,12/29/2011 6:38,1/5/2012 15:44
738,8/3/2016 9:53,8/6/2016 10:19
739,9/28/2013 17:35,10/8/2013 19:05
740,12/12/2016 11:14,12/18/2016 22:14
741,11/12/2015 9:54,11/21/2015 18:51
742,3/28/2018 10:55,4/9/2018 0:00
743,3/29/2013 16:00,4/5/2013 4:47
744,1/24/2014 6:36,1/29/2014 19:22
745,3/14/2014 8:49,3/17/2014 15:58
746,9/3/2016 9:39,9/16/2016 11:17
747,5/20/2010 12:24,6/4/2010 1:52
748,5/26/2014 15:25,6/2/2014 0:15
749,10/23/2016 3:13,11/6/2016 17:48
750,3/30/2017 5:28,4/13/2017 11:36
751,5/1/2013 6:39,5/12/2013 18:49
752,1/20/2018 23:12,1/26/2018 12:55
753,11/30/2013 19:45,12/13/2013 1:29
754,12/15/2011 3:12,12/24/2011 9:13
755,2/5/2013 17:39,2/10/2013 1:46
756,10/10/2019 16:51,10/14/2019 7:18
757,11/19/2016 2:14,11/29/2016 8:27
758,12/27/2013 22:58,1/9/2014 14:47
759,2/19/2018 5:42,3/3/2018 13:00
760,9/10/2012 15:01,9/23/2012 5:08
761,6/19/2011 9:33,7/1/2011 1:44
762,1/29/2010 5:59,2/6/2010 15:54
763,4/6/2010 7:49,4/15/2010 22:21
764,5/2/2013 4:30,5/11/2013 8:23
765,12/2/2011 18:57,12/10/2011 9:36
766,8/13/2019 14:58,8/19/2019 21:34
767,9/30/2017 11:55,10/8/2017 4:23
768,3/15/2012 10:26,3/26/2012 12:55
769,10/21/2014 0:34,11/4/2014 7:47
770,5/18/2010 5:59,5/23/2010 21:54
771,1/7/2013 9:45,1/21/2013 2:05
772,3/4/2017 1:20,3/12/2017 3:01
773,7/7/2011 22:03,7/10/2011 22:20
774,8/30/2011 18:12,9/9/2011 1:13
775,4/14/2018 6:31,4/28/2018 15:29
776,2/17/2010 17:07,2/22/2010 6:20
777,11/11/2013 23:18,11/18/2013 1:03
778,4/4/2018 15:01,4/15/2018 21:04
779,3/18/2017 11:41,3/22/2017 20:24
780,9/8/2019 12:19,9/11/2019 22:02
781,5/27/2015 12:28,6/7/2015 3:04
782,6/27/2016 11:28,7/3/2016 22:01
783,1/20/2020 4:42,1/26/2020 12:09
784,7/7/2012 2:13,7/16/2012 16:02
785,8/12/2011 16:33,8/16/2011 4:17
786,11/25/2013 14:57,12/5/2013 4:11
787,3/14/2019 17:41,3/28/2019 4:08
788,3/22/2017 3:24,4/5/2017 12:18
789,1/25/2011 6:21,2/5/2011 14:30
790,6/28/2017 9:27,7/6/2017 20:27
791,7/10/2020 12:44,7/21/2020 2:08
792,12/9/2010 2:06,12/20/2010 8:03
793,3/30/2011 9:04,4/9/2011 13:41
794,7/20/2011 7:56,7/23/2011 13:08
795,11/11/2013 21:37,11/16/2013 4:10
796,8/21/2014 2:33,8/27/2014 12:52
797,6/11/2016 14:42,6/16/2016 18:49
798,10/19/2018 5:32,10/22/2018 9:23
799,1/19/2010 20:43,2/3/2010 10:33
800,1/24/2011 23:18,2/2/2011 5:16
801,6/19/2018 5:14,6/25/2018 20:50
802,2/1/2014 23:35,2/14/2014 3:31
803,7/21/2012 16:07,7/27/2012 0:31
804,5/15/2010 2:41,5/25/2010 11:16
805,6/6/2015 23:04,6/18/2015 6:39
806,9/15/2010 5:17,9/24/2010 15:33
807,1/28/2013 1:53,2/3/2013 11:32
808,5/14/2015 21:50,5/26/2015 2:03
809,11/6/2016 4:54,11/20/2016 16:21
810,6/22/2016 21:58,7/2/2016 6:14
811,10/18/2018 16:11,10/25/2018 0:06
812,8/1/2015 11:28,8/13/2015 19:08
813,4/14/2013 3:46,4/19/2013 8:00
814,5/7/2013 19:46,5/13/2013 2:06
815,2/2/2011 1:42,2/15/2011 15:08
816,10/19/2014 18:40,11/1/2014 8:58
817,2/22/2015 22:59,3/3/2015 15:04
818,6/21/2012 20:42,7/4/2012 8:28
819,1/30/2012 15:11,2/10/2012 22:00
820,6/15/2012 5:05,6/18/2012 17:45
821,5/21/2017 16:47,6/3/2017 23:40
822,7/31/2012 2:21,8/7/2012 6:21
823,3/28/2019 6:57,4/10/2019 22:04
824,1/2/2010 16:58,1/17/2010 3:55
825,4/5/2014 12:19,4/16/2014 1:00
826,12/26/2015 3:54,1/3/2016 10:02
827,6/8/2015 22:39,6/23/2015 1:10
828,4/21/2020 17:54,4/29/2020 23:44
829,11/25/2017 9:34,11/29/2017 12:11
830,5/16/2012 21:59,5/31/2012 3:13
831,10/29/2018 12:30,11/3/2018 15:17
832,7/22/2017 14:35,8/1/2017 2:57
833,5/15/2014 13:09,5/24/2014 3:19
834,2/8/2011 16:17,2/13/2011 19:32
835,12/26/2017 11:08,1/4/2018 16:25
836,4/22/2017 4:34,5/5/2017 14:46
837,7/3/2018 21:43,7/16/2018 9:35
838,2/23/2020 6:12,3/6/2020 19:31
839,1/14/2013 5:47,1/20/2013 16:59
840,5/31/2018 6:13,6/4/2018 18:42
841,6/25/2012 10:05,7/2/2012 22:38
842,7/15/2020 8:25,7/24/2020 14:54
843,6/18/2014 11:05,6/21/2014 13:00
844,9/1/2020 0:24,9/9/2020 14:26
845,1/20/2011 14:29,1/26/2011 15:13
846,4/20/2019 5:34,5/3/2019 20:43
847,8/20/2014 18:41,9/3/2014 6:03
848,12/13/2010 14:04,12/18/2010 5:12
849,4/23/2017 22:21,5/2/2017 4:49
850,8/19/2011 3:13,8/22/2011 15:46
851,10/18/2014 7:08,10/24/2014 10:27
852,3/21/2010 0:38,4/4/2010 4:35
853,5/7/2012 14:22,5/17/2012 1:33
854,2/5/2017 8:57,2/12/2017 17:09
855,6/1/2017 11:47,6/10/2017 20:19
856,11/2/2013 19:20,11/13/2013 7:21
857,12/27/2011 0:26,1/9/2012 16:57
858,7/28/2010 2:07,8/3/2010 5:40
859,5/5/2016 20:33,5/14/2016 9:11
860,10/31/2010 11:13,11/4/2010 13:49
861,1/14/2020 22:17,1/23/2020 3:18
862,12/9/2019 12:58,12/20/2019 22:22
863,12/3/2017 2:17,12/15/2017 6:14
864,8/16/2012 20:35,8/28/2012 3:55
865,11/22/2019 0:56,11/27/2019 10:56
866,6/8/2010 3:32,6/20/2010 7:36
867,10/23/2018 15:32,11/6/2018 8:09
868,4/3/2011 11:30,4/13/2011 20:55
869,4/26/2014 4:17,4/30/2014 15:43
870,4/7/2011 3:07,4/18/2011 10:18
871,12/27/2019 5:19,1/9/2020 8:35
872,2/24/2010 2:12,3/1/2010 2:49
873,2/28/2015 14:19,3/11/2015 6:37
874,7/4/2015 21:34,7/16/2015 8:37
875,7/31/2013 10:44,8/9/2013 10:51
876,12/9/2019 12:58,12/20/2019 22:22
=======
cid,cierre,reapertura
1,1/23/2012 0:43,1/31/2012 6:54
2,8/21/2017 2:29,8/26/2017 2:50
3,12/17/2015 0:16,12/20/2015 16:05
4,10/18/2017 7:34,10/27/2017 17:02
5,8/29/2019 0:03,9/10/2019 15:26
6,7/2/2017 15:46,7/6/2017 19:52
7,12/11/2013 0:19,12/24/2013 2:38
8,1/11/2020 4:41,1/17/2020 15:41
9,6/2/2010 5:06,6/9/2010 14:38
10,2/22/2018 21:33,3/9/2018 6:33
11,8/25/2017 13:52,9/8/2017 15:51
12,9/26/2018 20:50,10/4/2018 0:57
13,5/15/2013 7:21,5/25/2013 8:59
14,7/21/2020 17:41,7/28/2020 22:58
15,1/6/2018 22:29,1/12/2018 5:36
16,3/28/2010 4:27,4/7/2010 15:58
17,11/2/2013 21:45,11/7/2013 11:52
18,9/30/2013 22:21,10/12/2013 22:35
19,5/20/2016 3:26,5/30/2016 12:41
20,3/30/2015 3:10,4/3/2015 17:41
21,6/11/2019 0:35,6/15/2019 6:54
22,2/28/2016 3:15,3/6/2016 11:41
23,6/1/2012 23:46,6/8/2012 2:16
24,4/4/2019 4:52,4/7/2019 7:38
25,8/11/2015 11:40,8/24/2015 18:23
26,9/21/2012 16:19,9/30/2012 2:43
27,2/16/2013 17:00,3/3/2013 3:28
28,9/4/2020 10:06,9/14/2020 2:23
29,12/24/2013 6:16,12/30/2013 16:52
30,2/4/2016 20:35,2/8/2016 2:06
31,2/22/2015 20:57,2/26/2015 23:20
32,10/28/2013 18:39,11/2/2013 4:04
33,11/12/2013 8:06,11/23/2013 11:24
34,3/26/2019 16:24,4/7/2019 21:01
35,10/7/2014 0:06,10/11/2014 13:14
36,8/30/2012 14:52,9/7/2012 6:49
37,1/5/2019 5:58,1/8/2019 20:43
38,1/8/2019 17:11,1/18/2019 23:33
39,8/18/2016 11:01,8/27/2016 3:40
40,2/6/2017 4:26,2/17/2017 16:17
41,3/22/2013 14:03,3/30/2013 0:31
42,5/28/2013 4:36,6/3/2013 6:51
43,1/21/2014 19:00,2/4/2014 6:59
44,2/24/2013 0:58,3/7/2013 3:42
45,3/19/2011 8:20,4/3/2011 0:13
46,7/11/2016 0:12,7/18/2016 6:37
47,10/1/2019 16:08,10/14/2019 8:44
48,4/16/2010 1:14,4/28/2010 2:11
49,1/9/2012 4:34,1/19/2012 6:03
50,8/28/2019 11:12,9/6/2019 3:39
51,12/19/2015 14:57,12/28/2015 22:37
52,7/1/2017 4:40,7/6/2017 20:40
53,9/8/2010 22:07,9/17/2010 6:18
54,4/29/2011 19:02,5/10/2011 20:16
55,9/29/2011 12:20,10/13/2011 15:23
56,10/16/2013 4:47,10/19/2013 18:04
57,2/27/2016 1:59,3/5/2016 11:54
58,4/5/2012 6:58,4/11/2012 16:15
59,4/29/2015 18:24,5/3/2015 0:27
60,5/28/2014 11:46,6/11/2014 12:53
61,3/3/2019 4:14,3/11/2019 12:17
62,6/17/2011 19:01,6/27/2011 21:00
63,12/9/2018 6:20,12/20/2018 15:58
64,10/30/2017 15:59,11/9/2017 3:33
65,7/5/2014 14:21,7/13/2014 1:14
66,3/14/2014 15:07,3/27/2014 7:30
67,2/2/2015 17:53,2/16/2015 22:33
68,1/22/2011 3:12,2/5/2011 3:51
69,11/11/2013 11:55,11/21/2013 15:14
70,3/2/2016 1:03,3/13/2016 11:41
71,6/26/2020 4:30,7/8/2020 9:40
72,1/9/2020 21:48,1/24/2020 0:42
73,4/4/2010 15:24,4/12/2010 2:21
74,3/1/2018 14:19,3/5/2018 20:28
75,2/4/2019 7:46,2/14/2019 15:40
76,9/23/2010 20:03,10/5/2010 21:19
77,8/27/2014 20:53,9/11/2014 11:39
78,7/20/2014 9:25,7/31/2014 17:54
79,5/7/2017 3:25,5/12/2017 10:24
80,2/25/2017 13:29,3/3/2017 19:13
81,12/5/2018 10:35,12/17/2018 2:14
82,2/16/2014 11:27,2/27/2014 17:57
83,6/15/2017 4:15,6/20/2017 10:32
84,12/3/2010 21:24,12/12/2010 9:57
85,11/3/2014 4:31,11/10/2014 16:20
86,4/30/2012 14:56,5/15/2012 5:18
87,2/19/2010 23:24,3/1/2010 10:57
88,12/15/2017 3:46,12/28/2017 15:01
89,11/29/2010 20:27,12/10/2010 10:12
90,7/16/2011 0:49,7/24/2011 8:23
91,5/20/2012 2:22,6/3/2012 18:12
92,6/13/2019 18:41,6/24/2019 20:24
93,5/4/2015 21:59,5/14/2015 0:39
94,6/23/2014 5:21,7/6/2014 10:47
95,5/8/2018 14:35,5/18/2018 16:58
96,1/5/2018 23:05,1/10/2018 11:42
97,4/1/2020 9:08,4/13/2020 21:50
98,8/26/2020 2:20,9/8/2020 2:51
99,9/22/2011 20:16,10/5/2011 6:17
100,11/19/2015 21:54,11/26/2015 11:47
101,9/11/2012 15:16,9/17/2012 22:16
102,6/24/2012 23:02,7/2/2012 10:07
103,9/30/2018 6:59,10/8/2018 11:57
104,8/3/2017 21:00,8/18/2017 3:56
105,11/13/2019 17:12,11/18/2019 7:10
106,6/3/2020 0:37,6/17/2020 9:05
107,11/19/2013 16:55,11/23/2013 5:19
108,5/19/2019 7:22,5/27/2019 15:02
109,8/25/2013 20:10,8/29/2013 9:48
110,4/15/2019 15:08,4/20/2019 23:26
111,3/3/2014 0:02,3/6/2014 1:50
112,12/6/2014 18:52,12/19/2014 3:00
113,6/16/2011 19:20,6/29/2011 7:19
114,6/4/2015 0:06,6/9/2015 10:29
115,12/17/2019 23:16,12/21/2019 3:58
116,5/22/2018 17:23,5/28/2018 18:59
117,3/27/2016 17:36,4/6/2016 6:42
118,2/1/2018 9:05,2/8/2018 21:19
119,10/23/2010 1:43,11/4/2010 9:35
120,4/13/2018 0:42,4/25/2018 14:12
121,5/8/2013 6:07,5/12/2013 19:55
122,1/23/2018 8:23,2/6/2018 23:44
123,11/28/2011 13:26,12/4/2011 23:45
124,8/29/2014 4:47,9/1/2014 8:00
125,9/8/2011 17:14,9/22/2011 22:16
126,6/1/2017 8:29,6/11/2017 21:48
127,8/12/2014 2:56,8/24/2014 5:57
128,8/14/2011 15:58,8/29/2011 6:34
129,8/19/2018 14:19,8/29/2018 15:46
130,4/13/2014 12:56,4/26/2014 16:13
131,7/7/2016 15:33,7/18/2016 21:55
132,8/16/2017 9:10,8/23/2017 20:38
133,11/17/2012 8:57,11/27/2012 14:39
134,4/21/2012 5:10,4/27/2012 8:25
135,5/29/2015 22:31,6/5/2015 11:45
136,6/15/2012 19:13,6/27/2012 5:53
137,9/1/2011 0:18,9/6/2011 4:32
138,2/4/2020 20:31,2/8/2020 10:44
139,1/31/2010 12:52,2/12/2010 20:18
140,6/1/2012 19:01,6/10/2012 3:58
141,6/17/2010 0:03,6/28/2010 3:33
142,1/11/2019 20:23,1/15/2019 11:57
143,5/3/2017 18:17,5/13/2017 3:00
144,9/7/2016 17:10,9/21/2016 5:11
145,8/18/2018 0:24,8/27/2018 1:52
146,5/25/2012 4:04,5/28/2012 7:06
147,10/11/2011 9:27,10/20/2011 18:44
148,3/10/2013 0:56,3/18/2013 9:07
149,4/16/2014 21:15,4/21/2014 7:01
150,6/5/2018 6:22,6/9/2018 20:41
151,8/25/2010 0:28,9/6/2010 13:44
152,5/7/2014 22:39,5/12/2014 7:30
153,12/29/2010 17:57,1/8/2011 20:02
154,4/12/2020 11:23,4/24/2020 16:51
155,12/7/2014 13:26,12/14/2014 19:21
156,12/13/2010 15:37,12/25/2010 4:30
157,2/17/2010 15:41,3/1/2010 3:22
158,1/13/2017 8:02,1/21/2017 13:51
159,4/7/2014 11:02,4/17/2014 22:46
160,2/1/2019 22:33,2/9/2019 8:10
161,3/20/2013 1:16,3/23/2013 7:29
162,6/6/2012 10:19,6/20/2012 21:47
163,4/26/2012 23:14,5/8/2012 11:38
164,6/14/2016 18:23,6/27/2016 6:09
165,3/29/2020 14:20,4/5/2020 18:18
166,1/31/2014 10:05,2/13/2014 13:26
167,5/6/2016 17:22,5/16/2016 6:57
168,3/24/2013 1:22,4/4/2013 10:41
169,4/17/2015 11:27,4/30/2015 22:35
170,11/7/2018 2:05,11/17/2018 9:23
171,10/9/2011 2:29,10/17/2011 3:32
172,12/18/2014 11:53,12/28/2014 22:25
173,12/16/2012 10:47,12/21/2012 20:00
174,2/27/2015 16:45,3/5/2015 1:31
175,3/4/2017 6:04,3/15/2017 12:12
176,3/7/2011 10:32,3/18/2011 0:38
177,4/4/2018 6:29,4/15/2018 12:16
178,7/14/2015 0:07,7/18/2015 9:49
179,1/19/2019 18:05,1/27/2019 5:07
180,5/22/2015 8:12,5/27/2015 14:58
181,5/31/2019 12:59,6/11/2019 5:11
182,3/9/2020 13:13,3/19/2020 19:28
183,12/22/2011 11:09,1/4/2012 0:36
184,11/3/2011 14:19,11/8/2011 22:31
185,5/22/2016 2:38,5/30/2016 6:35
186,10/18/2016 3:14,10/31/2016 15:43
187,8/17/2014 19:30,8/28/2014 20:33
188,9/29/2012 21:59,10/9/2012 3:19
189,12/2/2014 6:08,12/6/2014 8:40
190,1/11/2019 9:58,1/25/2019 13:53
191,5/24/2020 0:38,5/30/2020 6:17
192,5/1/2013 22:04,5/5/2013 12:58
193,4/25/2020 20:39,5/7/2020 22:16
194,6/16/2014 1:56,6/19/2014 13:53
195,6/10/2018 2:19,6/17/2018 18:48
196,8/24/2015 12:07,8/30/2015 14:06
197,2/9/2020 2:49,2/16/2020 18:45
198,6/23/2011 13:43,7/2/2011 18:58
199,8/27/2020 15:42,9/6/2020 18:04
200,7/6/2019 20:57,7/18/2019 3:41
201,8/23/2011 6:30,9/5/2011 11:11
202,1/2/2014 23:39,1/11/2014 10:22
203,2/21/2011 21:38,3/6/2011 12:01
204,12/3/2015 3:29,12/16/2015 6:11
205,4/13/2010 1:07,4/23/2010 5:27
206,10/16/2011 17:57,10/24/2011 7:56
207,3/20/2010 14:07,4/2/2010 23:46
208,10/14/2015 18:01,10/27/2015 4:07
209,1/9/2012 17:12,1/13/2012 1:32
210,12/27/2010 21:18,1/10/2011 8:49
211,4/19/2011 21:54,5/2/2011 9:49
212,6/13/2012 3:05,6/26/2012 6:44
213,5/29/2014 0:05,6/6/2014 5:14
214,9/4/2018 15:29,9/15/2018 3:54
215,5/13/2013 3:03,5/20/2013 18:17
216,8/20/2017 15:35,8/31/2017 19:26
217,3/9/2019 12:51,3/13/2019 13:10
218,12/19/2018 8:05,12/31/2018 23:43
219,6/4/2019 22:17,6/10/2019 10:05
220,2/19/2013 21:47,3/6/2013 13:46
221,7/26/2013 16:20,7/29/2013 19:53
222,11/12/2010 6:17,11/24/2010 7:40
223,8/25/2017 10:06,9/6/2017 0:04
224,8/22/2015 3:32,8/26/2015 11:16
225,3/22/2013 6:37,3/25/2013 9:56
226,6/5/2014 11:37,6/18/2014 22:17
227,6/18/2012 12:14,6/27/2012 16:30
228,11/5/2010 9:08,11/14/2010 22:27
229,1/27/2012 5:38,2/3/2012 12:05
230,9/8/2013 6:11,9/16/2013 20:49
231,3/5/2016 17:37,3/10/2016 3:27
232,6/7/2015 1:26,6/14/2015 8:08
233,3/27/2020 14:23,4/5/2020 21:26
234,11/23/2015 12:16,11/26/2015 23:04
235,10/28/2014 12:49,11/8/2014 19:27
236,10/23/2014 6:48,10/26/2014 23:27
237,1/1/2015 21:26,1/5/2015 8:13
238,2/24/2014 14:16,3/7/2014 5:59
239,7/26/2020 18:17,8/2/2020 10:14
240,11/13/2015 14:12,11/27/2015 16:44
241,11/1/2011 18:57,11/12/2011 20:18
242,5/11/2017 23:58,5/15/2017 15:16
243,12/24/2018 8:35,1/3/2019 15:19
244,5/2/2020 1:56,5/8/2020 14:01
245,3/28/2013 4:34,4/1/2013 14:21
246,1/2/2017 17:56,1/11/2017 4:17
247,5/5/2010 20:34,5/17/2010 1:51
248,3/15/2020 6:21,3/21/2020 13:14
249,9/24/2010 11:39,10/7/2010 13:08
250,9/27/2012 12:15,10/2/2012 1:19
251,12/22/2019 20:25,12/27/2019 22:09
252,1/29/2014 23:12,2/6/2014 23:41
253,8/17/2018 9:21,8/26/2018 1:25
254,4/24/2016 22:12,5/1/2016 9:08
255,5/16/2017 13:24,5/24/2017 0:44
256,10/23/2015 9:51,11/4/2015 22:50
257,10/25/2014 2:02,11/4/2014 5:53
258,1/26/2016 6:41,2/8/2016 11:02
259,1/8/2010 22:42,1/19/2010 23:15
260,2/19/2014 4:04,2/24/2014 7:40
261,12/16/2018 20:11,12/31/2018 11:26
262,8/31/2011 7:38,9/11/2011 10:55
263,2/10/2013 4:58,2/23/2013 16:07
264,6/21/2013 13:01,7/3/2013 17:49
265,1/16/2018 3:47,1/19/2018 10:00
266,1/16/2012 20:13,1/26/2012 12:15
267,2/20/2020 23:19,2/27/2020 14:59
268,4/9/2020 12:02,4/15/2020 0:37
269,8/19/2020 10:57,8/29/2020 20:12
270,8/30/2015 12:53,9/5/2015 0:17
271,7/10/2020 14:51,7/13/2020 18:04
272,3/3/2012 13:11,3/14/2012 13:44
273,8/29/2016 16:00,9/3/2016 19:33
274,7/14/2013 2:17,7/27/2013 4:22
275,1/5/2010 1:20,1/19/2010 13:01
276,10/4/2015 21:37,10/18/2015 23:49
277,7/22/2010 6:07,7/30/2010 22:34
278,4/5/2011 9:50,4/19/2011 11:36
279,5/10/2010 13:07,5/18/2010 16:55
280,7/14/2014 2:03,7/18/2014 11:33
281,11/22/2018 9:25,11/26/2018 22:47
282,5/18/2013 6:32,5/21/2013 18:08
283,2/11/2012 12:35,2/23/2012 2:37
284,9/19/2015 7:35,9/26/2015 20:24
285,8/28/2013 19:33,9/7/2013 3:03
286,1/11/2012 8:30,1/16/2012 19:12
